review,score,review_length,cleaned_review
Tripe!: How this company have become so successful is testament to the amount of fools around. The 4K content is dismal and there self created content is low brow trash! If being overpriced and offering low quality content is what your looking for them by all means continue paying for this rubbish! For those with fully functioning brain I recommend seeking more cerebral content elsewhere.,2,391,tripe company successful testament fool 4 k content dismal self create content low brow trash overprice offer low quality content look mean continue pay rubbish fully function brain recommend seek cerebral content
"Tricked by Netflix into getting me off basic plan: I’m on a basic plan, but when setting up my new TV I was asked if I wanted Netflix in HD. I said yes, and without realising it had put me on a 17.99 plan. I immediately panicked and tried to change it back, but it wasn’t an option, so my only option was the 4.99 with ads option or a vastly increased 10.99 plan. Netflix refused to reverse this unwanted change that I feel tricked into accidentally making, so I cancelled my Netflix subscription as none of the plans are suitable for me, nor good value for money. Very disappointed. Will use an alternative service.",1,616,trick Netflix get basic plan m basic plan set new tv ask want Netflix HD say yes realise 1799 plan immediately panic try change not option option 499 ad option vastly increase 1099 plan Netflix refuse reverse unwanted change feel trick accidentally make cancel Netflix subscription plan suitable good value money disappointed use alternative service
"Poor customer service: Son had a Netflix account.On changing broadband to sky we got Netflix included.Couldn’t get through on phone to speak so went on chat for my son.Asked for email then went on to say couldn’t give info,all I wanted to know was that we wouldn’t be billed with Netflix as wouldn’t let us cancel online.Then decided to say systems couldn’t find account.They clearly havnt a clue I said a few choice words and they decided to delete comment before sending transcript.Netflix customer service is diabolical and they clearly do not know what they are doing.Son has copy of Netflix account so they can’t say it’s not a true review",1,644,poor customer service Son Netflix accountOn change broadband sky get Netflix includedcouldnt phone speak go chat sonasked email go not infoall want know not bill Netflix not let cancel onlinethen decide system not find accountthey clearly havnt clue say choice word decide delete comment send transcriptnetflix customer service diabolical clearly know doingSon copy Netflix account not true review
Just had an email stating my plan is…: Just had an email stating my plan is going up from £15.99 to £17.99 from December.  I wouldn’t mind if I didn’t have to spend nearly an hour trying to find something decent to watch or if I didn’t end up having to watch films and series that I’ve already watched!  Looks like I’m going to have to seriously consider finding another streaming service.  Netflix your prices are getting too expensive for the rubbish you are showing.,1,469,email state plan email state plan go 1599 1799 December   not mind not spend nearly hour try find decent watch not end have watch film series ve watch   look like m go seriously consider find streaming service   Netflix price get expensive rubbish show
1 star as I can’t give any lower…: 1 star as I can’t give any lower unfortunately. My account was hacked and my email changed before I had time to do anything about it. Contacted customer services who were absolute garbage. Cut me off saying nothing they can do as I can’t access the account. Changed my bank card thinking that would stop payments but NO they still taking money out. Furious,1,391,1 star not low 1 star not low unfortunately account hack email change time contact customer service absolute garbage cut say not access account change bank card thinking stop payment take money furious
"Continually locks up my smart TV!!!: I have used most all of the paid and the free streaming services and Netflix is the only one that continually locks up my smart TV!  How can one of, if not the biggest name in streaming services, be so incredibly bad? No other streaming service gives me issues like Netflix does!",1,316,continually lock smart tv pay free streaming service Netflix continually lock smart tv   big streaming service incredibly bad streaming service give issue like Netflix
"Tired of subtitles: More than half of the new releases are either Asian, Indian or Spanish with subtitles. I would like to watch a new release with spoken English, the language I was taught here in the United States as a child. I’m very unhappy paying for others to watch and I can’t",2,283,tired subtitle half new release Asian indian spanish subtitle like watch new release speak English language teach United States child m unhappy pay watch not
"Netflix is a waste of money 💰 they…: Netflix is a waste of money 💰 they think they now have too much customers now so they treat their customers any how and  stay given you options on your hard earned money you are paying on the oldest movies they are uploading. How can you tell me that,  i  and my kids can now used Netflix on the same hux with different TV why i am paying $24 every month. Who does that do you this the money is easy to get this days. PRIME VIDEO IS STILL THE BEST 👌",1,486,Netflix waste money   Netflix waste money   think customer treat customer   stay give option hard earn money pay old movie upload tell     kid Netflix hux different tv pay 24 month money easy day prime video best
I keep getting a refund nearly every…: I keep getting a refund nearly every month for Netflix then I have to keep setting up a payment everytime. Can someone please tell me what's going on as this is unacceptable?,3,213,get refund nearly get refund nearly month Netflix set payment everytime tell s go unacceptable
"Resolution drops when price goes up: They promise 4K resolution, but you'll get 480P ...  My internet is not the problem as I did many speedtests, even with the build-in netlfix speedtest. All test are ultra fast.  The resolution goes down every time the price goes up.  Also, the ""netflix original"" content is just awfull.  Look at IMDB and rotten tomatoes scores.  I would NOT RECOMMEND, there are plenty of alternatives",1,422,resolution drop price go promise 4 k resolution ll 480p    internet problem speedtest buildin netlfix speedtest test ultra fast   resolution go time price go   netflix original content awfull   Look IMDB rotten tomatoe score   RECOMMEND plenty alternative
