Year,"Murders per 100,000 population"
1960,3.9
1961,3.7
1962,3.9
1963,3.8
1964,4.1
1965,4.7
1966,4.6
1967,5.4
1968,6
1969,7.1
1970,6.9
1971,8.1
1972,8.8
1973,9
1974,9.5
1975,10.4
1976,10.3
1977,11.5
1978,11.7
1979,13
1980,14.5
1981,13
1982,11.2
1983,10.5
1984,10.6
1985,10.5
1986,11.3
1987,10.6
1988,10.4
1989,10.9
1990,11.9
1991,12.7
1992,12.7
1993,13.1
1994,11.8
1995,11.2
1996,9.1
1997,8
1998,6.6
1999,6
2000,6.1
2001,6.4
2002,6.8
2003,6.8
2004,6.7
2005,6.9
2006,6.8
2007,6.2
2008,5.8
2009,5.3
2010,4.8
2011,4.8
2012,5
2013,4.6
2014,4.4
2015,4.8
2016,4.9
2017,4.6
2018,4.4
2019,4.3
