Year,"Violent Crimes per 100,000 population"
1960,186.6
1961,168.5
1962,157.3
1963,182.7
1964,213.1
1965,199.8
1966,230.3
1967,238.6
1968,232.4
1969,250.4
1970,295.7
1971,311.4
1972,313.2
1973,350.1
1974,372.9
1975,392.9
1976,388.8
1977,414.4
1978,419.1
1979,413.3
1980,448.5
1981,470.5
1982,447.7
1983,416
1984,431.2
1985,457.5
1986,558
1987,559.2
1988,558.6
1989,590.8
1990,708.6
1991,844.2
1992,871.7
1993,780.4
1994,683.7
1995,632.4
1996,565.4
1997,564.5
1998,512.1
1999,490.2
2000,486.2
2001,438.2
2002,445
2003,429.2
2004,427
2005,433
2006,425.2
2007,448.9
2008,452.8
2009,450.1
2010,383.7
2011,419.8
2012,449.9
2013,430.8
2014,427.4
2015,472.4
2016,532.3
2017,524.2
2018,519.6
2019,510.8
1960,104.3
1961,88.9
1962,91.5
1963,109.7
1964,150
1965,149
1966,150.4
1967,160.7
1968,175.5
1969,221.3
1970,278
1971,355.3
1972,370.5
1973,384.5
1974,453.1
1975,539.8
1976,540.1
1977,443.2
1978,441.9
1979,491.1
1980,436
1981,615.8
1982,623.7
1983,613.8
1984,621.6
1985,581.8
1986,570.4
1987,455.4
1988,522.8
1989,497.7
1990,524.5
1991,613.9
1992,660.5
1993,760.8
1994,766.3
1995,770.9
1996,727.7
1997,701.1
1998,653.9
1999,630.8
2000,566.9
2001,589.5
2002,565.4
2003,598
2004,632.3
2005,632
2006,688
2007,661.3
2008,652.1
2009,633.4
2010,635.3
2011,610.1
2012,603.2
2013,640.4
2014,635.8
2015,730.2
2016,804.2
2017,829
2018,885
2019,867.1
1960,207.7
1961,164.5
1962,173
1963,194.2
1964,213
1965,192.3
1966,202.2
1967,238.2
1968,263.6
1969,339.2
1970,370.3
1971,400.6
1972,448.9
1973,479.9
1974,566.7
1975,547.8
1976,455.3
1977,494.2
1978,552.1
1979,593
1980,650.9
1981,575.8
1982,517
1983,494.2
1984,516.1
1985,602.5
1986,658.3
1987,612.6
1988,610.1
1989,599.6
1990,652.4
1991,670.7
1992,670.8
1993,715
1994,703.1
1995,713.5
1996,631.5
1997,623.7
1998,577.9
1999,551.1
2000,531.7
2001,540.3
2002,554.5
2003,513.3
2004,504.4
2005,512
2006,542.6
2007,518
2008,485.6
2009,426.5
2010,413.6
2011,414.2
2012,428.9
2013,416.5
2014,399.9
2015,410.2
2016,470.1
2017,508
2018,474.9
2019,455.3
1960,107.7
1961,100.7
1962,91.4
1963,107.2
1964,136.6
1965,135.8
1966,162.9
1967,219.5
1968,216.7
1969,220.1
1970,222.3
1971,240.7
1972,244.7
1973,289.9
1974,316.2
1975,348.3
1976,303.9
1977,322.9
1978,344.1
1979,366.2
1980,335.2
1981,310.3
1982,324.7
1983,297.7
1984,321.4
1985,347.6
1986,394.8
1987,412
1988,422.7
1989,473.7
1990,532.2
1991,593.3
1992,576.5
1993,593.3
1994,595.1
1995,553.2
1996,524.3
1997,526.9
1998,490.2
1999,425.2
2000,445.3
2001,452.4
2002,425
2003,456.4
2004,502.3
2005,528
2006,552.8
2007,537.1
2008,513
2009,515.8
2010,503.5
2011,482.3
2012,469.1
2013,460.3
2014,480.1
2015,521.3
2016,550.9
2017,554.9
2018,543.6
2019,584.6
1960,239
1961,232.7
1962,234.8
1963,241.2
1964,265.6
1965,282.2
1966,305.1
1967,352.1
1968,422.9
1969,462.3
1970,474.8
1971,518.6
1972,540.7
1973,565.8
1974,610.6
1975,655.4
1976,669.3
1977,706
1978,742.9
1979,811.1
1980,893.6
1981,863
1982,814.7
1983,772.6
1984,763.4
1985,765.3
1986,920.5
1987,918
1988,929.8
1989,977.7
1990,1045.2
1991,1089.9
1992,1119.7
1993,1077.8
1994,1013
1995,966
1996,862.7
1997,798.3
1998,703.7
1999,627.2
2000,621.6
2001,615.2
2002,595.4
2003,579.6
2004,527.8
2005,526
2006,533.5
2007,524.1
2008,504.2
